date,asin,name,title,price,original_price,rating,review_count,availability,seller,bullet_1,bullet_2,bullet_3,bullet_4,bullet_5
2026-03-25T09:02:58.250721,B0BLMF98S8,Colorful Lighting Balance Bike - Girl Gifts,"Colorful Lighting Baby Balance Bike Toys for 1 Year Old Girl Gifts, 10-36 Month Toddler Balance Bike, No Pedal 4 Silence Wheels & Soft Seat Pre-School First Riding on Toys, 1st Birthday Gifts.",$29.99,$49.99,4.8,5511,In Stock,,,,,,
2026-03-25T09:02:58.250783,B0BKXSHHNP,Colorful Lighting Balance Bike - Boy Gifts,"Colorful Lighting Baby Balance Bike Toys for 1 Year Old Boy Gifts, 10-36 Month Toddler Balance Bike, No Pedal 4 Silence Wheels&Soft Seat First Riding on Toys, One Year Old Boy Birthday Gifts.",$29.99,$49.99,4.8,5511,In Stock,,,,,,
